"Step","workerpool1-5-DR6-LR0-R6 - Training/epoch_p_nohist"
"1189","{""_type"":""histogram"",""values"":[46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1],""bins"":[0.018058376386761665,0.01819637865992263,0.018334380933083594,0.018472383206244558,0.018610385479405522,0.018748387752566487,0.01888639002572745,0.019024392298888415,0.01916239457204938,0.019300396845210344,0.019438399118371308,0.019576401391532272,0.019714403664693236,0.0198524059378542,0.019990408211015165,0.02012841048417613,0.020266412757337093,0.020404415030498058,0.020542417303659022,0.020680419576819986,0.02081842184998095,0.020956424123141915,0.02109442639630288,0.021232428669463843,0.021370430942624807,0.02150843321578577,0.021646435488946736,0.0217844377621077,0.021922440035268664,0.02206044230842963,0.022198444581590593,0.022336446854751557,0.02247444912791252]}"
"1223","{""_type"":""histogram"",""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3],""bins"":[0.017682218924164772,0.0178064638748765,0.017930708825588226,0.018054953776299953,0.01817919872701168,0.018303443677723408,0.018427688628435135,0.018551933579146862,0.01867617852985859,0.018800423480570316,0.018924668431282043,0.01904891338199377,0.019173158332705498,0.019297403283417225,0.019421648234128952,0.01954589318484068,0.019670138135552406,0.019794383086264133,0.01991862803697586,0.020042872987687588,0.020167117938399315,0.020291362889111042,0.02041560783982277,0.020539852790534496,0.020664097741246223,0.02078834269195795,0.020912587642669678,0.021036832593381405,0.021161077544093132,0.02128532249480486,0.021409567445516586,0.021533812396228313,0.02165805734694004]}"
"1257","{""_type"":""histogram"",""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2],""bins"":[0.017797693610191345,0.017917501856572926,0.018037310102954507,0.018157118349336088,0.01827692659571767,0.01839673484209925,0.01851654308848083,0.01863635133486241,0.018756159581243992,0.018875967827625573,0.018995776074007154,0.019115584320388734,0.019235392566770315,0.019355200813151896,0.019475009059533477,0.019594817305915058,0.01971462555229664,0.01983443379867822,0.0199542420450598,0.02007405029144138,0.020193858537822962,0.020313666784204543,0.020433475030586123,0.020553283276967704,0.020673091523349285,0.020792899769730866,0.020912708016112447,0.021032516262494028,0.02115232450887561,0.02127213275525719,0.02139194100163877,0.02151174924802035,0.021631557494401932]}"
"1291","{""values"":[43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.017929987981915474,0.018049998965580016,0.01817000994924456,0.0182900209329091,0.018410031916573644,0.018530042900238186,0.01865005388390273,0.01877006486756727,0.018890075851231813,0.019010086834896356,0.0191300978185609,0.01925010880222544,0.019370119785889983,0.019490130769554526,0.019610141753219068,0.01973015273688361,0.019850163720548153,0.019970174704212695,0.020090185687877238,0.02021019667154178,0.020330207655206323,0.020450218638870865,0.020570229622535408,0.02069024060619995,0.020810251589864492,0.020930262573529035,0.021050273557193577,0.02117028454085812,0.021290295524522662,0.021410306508187205,0.021530317491851747,0.02165032847551629,0.021770339459180832]}"
"1325","{""values"":[44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,1],""_type"":""histogram"",""bins"":[0.01793399266898632,0.018072617705911398,0.018211242742836475,0.018349867779761553,0.01848849281668663,0.018627117853611708,0.018765742890536785,0.018904367927461863,0.01904299296438694,0.019181618001312017,0.019320243038237095,0.019458868075162172,0.01959749311208725,0.019736118149012327,0.019874743185937405,0.020013368222862482,0.02015199325978756,0.020290618296712637,0.020429243333637714,0.020567868370562792,0.02070649340748787,0.020845118444412947,0.020983743481338024,0.0211223685182631,0.02126099355518818,0.021399618592113256,0.021538243629038334,0.02167686866596341,0.02181549370288849,0.021954118739813566,0.022092743776738644,0.02223136881366372,0.0223699938505888]}"
"1359","{""_type"":""histogram"",""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2],""bins"":[0.017672479152679443,0.017794689047150314,0.017916898941621184,0.018039108836092055,0.018161318730562925,0.018283528625033796,0.018405738519504666,0.018527948413975537,0.018650158308446407,0.018772368202917278,0.01889457809738815,0.01901678799185902,0.01913899788632989,0.01926120778080076,0.01938341767527163,0.0195056275697425,0.01962783746421337,0.019750047358684242,0.019872257253155112,0.019994467147625983,0.020116677042096853,0.020238886936567724,0.020361096831038594,0.020483306725509465,0.020605516619980335,0.020727726514451206,0.020849936408922076,0.020972146303392947,0.021094356197863817,0.021216566092334688,0.021338775986805558,0.02146098588127643,0.0215831957757473]}"
"1393","{""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.01782379113137722,0.017942945822142065,0.01806210051290691,0.018181255203671753,0.018300409894436598,0.018419564585201442,0.018538719275966287,0.01865787396673113,0.018777028657495975,0.01889618334826082,0.019015338039025664,0.01913449272979051,0.019253647420555353,0.019372802111320198,0.019491956802085042,0.019611111492849886,0.01973026618361473,0.019849420874379575,0.01996857556514442,0.020087730255909264,0.02020688494667411,0.020326039637438953,0.020445194328203797,0.020564349018968642,0.020683503709733486,0.02080265840049833,0.020921813091263175,0.02104096778202802,0.021160122472792864,0.021279277163557708,0.021398431854322553,0.021517586545087397,0.02163674123585224]}"
"1427","{""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.01780523546040058,0.01792471529915929,0.018044195137917995,0.018163674976676702,0.01828315481543541,0.018402634654194117,0.018522114492952824,0.01864159433171153,0.018761074170470238,0.018880554009228945,0.019000033847987652,0.01911951368674636,0.019238993525505066,0.019358473364263773,0.01947795320302248,0.019597433041781187,0.019716912880539894,0.0198363927192986,0.019955872558057308,0.020075352396816015,0.020194832235574722,0.02031431207433343,0.020433791913092136,0.020553271751850843,0.02067275159060955,0.020792231429368258,0.020911711268126965,0.02103119110688567,0.02115067094564438,0.021270150784403086,0.021389630623161793,0.0215091104619205,0.021628590300679207]}"
"1461","{""values"":[42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.017880119383335114,0.01800081942928955,0.018121519475243986,0.01824221952119842,0.018362919567152858,0.018483619613107294,0.01860431965906173,0.018725019705016166,0.018845719750970602,0.018966419796925038,0.019087119842879474,0.01920781988883391,0.019328519934788346,0.019449219980742782,0.01956992002669722,0.019690620072651654,0.01981132011860609,0.019932020164560527,0.020052720210514963,0.0201734202564694,0.020294120302423835,0.02041482034837827,0.020535520394332707,0.020656220440287143,0.02077692048624158,0.020897620532196015,0.02101832057815045,0.021139020624104887,0.021259720670059323,0.02138042071601376,0.021501120761968195,0.02162182080792263,0.021742520853877068]}"
"1495","{""_type"":""histogram"",""values"":[44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1],""bins"":[0.017992602661252022,0.01811485760845244,0.018237112555652857,0.018359367502853274,0.018481622450053692,0.01860387739725411,0.018726132344454527,0.018848387291654944,0.018970642238855362,0.01909289718605578,0.019215152133256197,0.019337407080456614,0.019459662027657032,0.01958191697485745,0.019704171922057867,0.019826426869258285,0.019948681816458702,0.02007093676365912,0.020193191710859537,0.020315446658059955,0.020437701605260372,0.02055995655246079,0.020682211499661207,0.020804466446861625,0.020926721394062042,0.02104897634126246,0.021171231288462877,0.021293486235663295,0.021415741182863712,0.02153799613006413,0.021660251077264547,0.021782506024464965,0.021904760971665382]}"
"1529","{""values"":[36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017547857016324997,0.01766974455676973,0.01779163209721446,0.017913519637659192,0.018035407178103924,0.018157294718548656,0.018279182258993387,0.01840106979943812,0.01852295733988285,0.018644844880327582,0.018766732420772314,0.018888619961217046,0.019010507501661777,0.01913239504210651,0.01925428258255124,0.019376170122995973,0.019498057663440704,0.019619945203885436,0.019741832744330168,0.0198637202847749,0.01998560782521963,0.020107495365664363,0.020229382906109095,0.020351270446553826,0.020473157986998558,0.02059504552744329,0.02071693306788802,0.020838820608332753,0.020960708148777485,0.021082595689222217,0.02120448322966695,0.02132637077011168,0.021448258310556412]}"
"1563","{""values"":[37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4],""_type"":""histogram"",""bins"":[0.017635533586144447,0.017751900129951537,0.017868266673758626,0.017984633217565715,0.018100999761372805,0.018217366305179894,0.018333732848986983,0.018450099392794073,0.018566465936601162,0.01868283248040825,0.01879919902421534,0.01891556556802243,0.01903193211182952,0.01914829865563661,0.019264665199443698,0.019381031743250787,0.019497398287057877,0.019613764830864966,0.019730131374672055,0.019846497918479145,0.019962864462286234,0.020079231006093323,0.020195597549900413,0.020311964093707502,0.02042833063751459,0.02054469718132168,0.02066106372512877,0.02077743026893586,0.02089379681274295,0.021010163356550038,0.021126529900357127,0.021242896444164217,0.021359262987971306]}"
"1597","{""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017695123329758644,0.017810382414609194,0.017925641499459743,0.018040900584310293,0.018156159669160843,0.018271418754011393,0.018386677838861942,0.018501936923712492,0.01861719600856304,0.01873245509341359,0.01884771417826414,0.01896297326311469,0.01907823234796524,0.01919349143281579,0.01930875051766634,0.01942400960251689,0.01953926868736744,0.01965452777221799,0.01976978685706854,0.01988504594191909,0.020000305026769638,0.020115564111620188,0.020230823196470737,0.020346082281321287,0.020461341366171837,0.020576600451022387,0.020691859535872936,0.020807118620723486,0.020922377705574036,0.021037636790424585,0.021152895875275135,0.021268154960125685,0.021383414044976234]}"
"1631","{""_type"":""histogram"",""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3],""bins"":[0.017824623733758926,0.017942247446626425,0.018059871159493923,0.01817749487236142,0.01829511858522892,0.01841274229809642,0.018530366010963917,0.018647989723831415,0.018765613436698914,0.018883237149566412,0.01900086086243391,0.01911848457530141,0.019236108288168907,0.019353732001036406,0.019471355713903904,0.019588979426771402,0.0197066031396389,0.0198242268525064,0.019941850565373898,0.020059474278241396,0.020177097991108894,0.020294721703976393,0.02041234541684389,0.02052996912971139,0.020647592842578888,0.020765216555446386,0.020882840268313885,0.021000463981181383,0.02111808769404888,0.02123571140691638,0.02135333511978388,0.021470958832651377,0.021588582545518875]}"
"1665","{""values"":[37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,1],""_type"":""histogram"",""bins"":[0.017569486051797867,0.017703234683722258,0.01783698331564665,0.01797073194757104,0.01810448057949543,0.01823822921141982,0.01837197784334421,0.018505726475268602,0.018639475107192993,0.018773223739117384,0.018906972371041775,0.019040721002966166,0.019174469634890556,0.019308218266814947,0.019441966898739338,0.01957571553066373,0.01970946416258812,0.01984321279451251,0.0199769614264369,0.020110710058361292,0.020244458690285683,0.020378207322210073,0.020511955954134464,0.020645704586058855,0.020779453217983246,0.020913201849907637,0.021046950481832027,0.021180699113756418,0.02131444774568081,0.0214481963776052,0.02158194500952959,0.02171569364145398,0.021849442273378372]}"
"1699","{""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,1,1],""_type"":""histogram"",""bins"":[0.017656806856393814,0.01779441034886986,0.017932013841345906,0.018069617333821952,0.018207220826298,0.018344824318774045,0.01848242781125009,0.018620031303726137,0.018757634796202183,0.01889523828867823,0.019032841781154275,0.01917044527363032,0.019308048766106367,0.019445652258582413,0.01958325575105846,0.019720859243534505,0.01985846273601055,0.019996066228486598,0.020133669720962644,0.02027127321343869,0.020408876705914736,0.020546480198390782,0.020684083690866828,0.020821687183342874,0.02095929067581892,0.021096894168294966,0.021234497660771012,0.02137210115324706,0.021509704645723104,0.02164730813819915,0.021784911630675197,0.021922515123151243,0.02206011861562729]}"
"1733","{""values"":[44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.017991438508033752,0.01810891425702721,0.018226390006020665,0.01834386575501412,0.018461341504007578,0.018578817253001034,0.01869629300199449,0.018813768750987947,0.018931244499981403,0.01904872024897486,0.019166195997968316,0.019283671746961772,0.01940114749595523,0.019518623244948685,0.01963609899394214,0.019753574742935598,0.019871050491929054,0.01998852624092251,0.020106001989915967,0.020223477738909423,0.02034095348790288,0.020458429236896336,0.020575904985889792,0.02069338073488325,0.020810856483876705,0.02092833223287016,0.021045807981863618,0.021163283730857074,0.02128075947985053,0.021398235228843987,0.021515710977837443,0.0216331867268309,0.021750662475824356]}"
"1767","{""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.017688356339931488,0.017809550859965384,0.01793074537999928,0.018051939900033176,0.018173134420067072,0.018294328940100968,0.018415523460134864,0.01853671798016876,0.018657912500202656,0.018779107020236552,0.018900301540270448,0.019021496060304344,0.01914269058033824,0.019263885100372136,0.01938507962040603,0.019506274140439928,0.019627468660473824,0.01974866318050772,0.019869857700541615,0.01999105222057551,0.020112246740609407,0.020233441260643303,0.0203546357806772,0.020475830300711095,0.02059702482074499,0.020718219340778887,0.020839413860812783,0.02096060838084668,0.021081802900880575,0.02120299742091447,0.021324191940948367,0.021445386460982263,0.02156658098101616]}"
"1801","{""values"":[36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.01763688400387764,0.0177549283253029,0.017872972646728158,0.017991016968153417,0.018109061289578676,0.018227105611003935,0.018345149932429194,0.018463194253854454,0.018581238575279713,0.018699282896704972,0.01881732721813023,0.01893537153955549,0.01905341586098075,0.019171460182406008,0.019289504503831267,0.019407548825256526,0.019525593146681786,0.019643637468107045,0.019761681789532304,0.019879726110957563,0.019997770432382822,0.02011581475380808,0.02023385907523334,0.0203519033966586,0.02046994771808386,0.020587992039509118,0.020706036360934377,0.020824080682359636,0.020942125003784895,0.021060169325210154,0.021178213646635413,0.021296257968060672,0.02141430228948593]}"
"1835","{""_type"":""histogram"",""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5],""bins"":[0.017651207745075226,0.017767262004781514,0.017883316264487803,0.01799937052419409,0.01811542478390038,0.01823147904360667,0.018347533303312957,0.018463587563019246,0.018579641822725534,0.018695696082431823,0.01881175034213811,0.0189278046018444,0.01904385886155069,0.019159913121256977,0.019275967380963266,0.019392021640669554,0.019508075900375843,0.01962413016008213,0.01974018441978842,0.01985623867949471,0.019972292939200997,0.020088347198907286,0.020204401458613575,0.020320455718319863,0.02043650997802615,0.02055256423773244,0.02066861849743873,0.020784672757145017,0.020900727016851306,0.021016781276557595,0.021132835536263883,0.02124888979597017,0.02136494405567646]}"
"1869","{""values"":[42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1],""_type"":""histogram"",""bins"":[0.017888136208057404,0.01802068267716095,0.018153229146264493,0.01828577561536804,0.018418322084471583,0.01855086855357513,0.018683415022678673,0.018815961491782218,0.018948507960885763,0.019081054429989308,0.019213600899092853,0.019346147368196398,0.019478693837299943,0.019611240306403488,0.019743786775507033,0.019876333244610578,0.020008879713714123,0.020141426182817668,0.020273972651921213,0.020406519121024758,0.020539065590128303,0.020671612059231848,0.020804158528335392,0.020936704997438937,0.021069251466542482,0.021201797935646027,0.021334344404749572,0.021466890873853117,0.021599437342956662,0.021731983812060207,0.021864530281163752,0.021997076750267297,0.022129623219370842]}"
"1903","{""_type"":""histogram"",""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,1],""bins"":[0.01781110092997551,0.017953304632101208,0.018095508334226906,0.018237712036352605,0.018379915738478303,0.018522119440604,0.0186643231427297,0.018806526844855398,0.018948730546981096,0.019090934249106795,0.019233137951232493,0.01937534165335819,0.01951754535548389,0.019659749057609588,0.019801952759735286,0.019944156461860985,0.020086360163986683,0.02022856386611238,0.02037076756823808,0.020512971270363778,0.020655174972489476,0.020797378674615175,0.020939582376740873,0.02108178607886657,0.02122398978099227,0.021366193483117968,0.021508397185243666,0.021650600887369365,0.021792804589495063,0.02193500829162076,0.02207721199374646,0.022219415695872158,0.022361619397997856]}"
"1937","{""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017667287960648537,0.017787363030947745,0.017907438101246953,0.01802751317154616,0.01814758824184537,0.018267663312144578,0.018387738382443786,0.018507813452742994,0.018627888523042202,0.01874796359334141,0.01886803866364062,0.018988113733939826,0.019108188804239035,0.019228263874538243,0.01934833894483745,0.01946841401513666,0.019588489085435867,0.019708564155735075,0.019828639226034284,0.019948714296333492,0.0200687893666327,0.020188864436931908,0.020308939507231116,0.020429014577530324,0.020549089647829533,0.02066916471812874,0.02078923978842795,0.020909314858727157,0.021029389929026365,0.021149464999325573,0.02126954006962478,0.02138961513992399,0.021509690210223198]}"
"1971","{""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.01784779690206051,0.017966083134524524,0.01808436936698854,0.018202655599452555,0.01832094183191657,0.018439228064380586,0.0185575142968446,0.018675800529308617,0.018794086761772633,0.018912372994236648,0.019030659226700664,0.01914894545916468,0.019267231691628695,0.01938551792409271,0.019503804156556726,0.01962209038902074,0.019740376621484756,0.019858662853948772,0.019976949086412787,0.020095235318876803,0.02021352155134082,0.020331807783804834,0.02045009401626885,0.020568380248732865,0.02068666648119688,0.020804952713660896,0.02092323894612491,0.021041525178588927,0.021159811411052942,0.021278097643516958,0.021396383875980973,0.02151467010844499,0.021632956340909004]}"
"2005","{""values"":[44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.01797408051788807,0.018095034756697714,0.01821598899550736,0.018336943234317005,0.01845789747312665,0.018578851711936295,0.01869980595074594,0.018820760189555585,0.01894171442836523,0.019062668667174876,0.01918362290598452,0.019304577144794166,0.01942553138360381,0.019546485622413456,0.0196674398612231,0.019788394100032747,0.019909348338842392,0.020030302577652037,0.020151256816461682,0.020272211055271327,0.020393165294080973,0.020514119532890618,0.020635073771700263,0.020756028010509908,0.020876982249319553,0.0209979364881292,0.021118890726938844,0.02123984496574849,0.021360799204558134,0.02148175344336778,0.021602707682177424,0.02172366192098707,0.021844616159796715]}"
"2039","{""values"":[36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.01758543774485588,0.017721990938298404,0.017858544131740928,0.01799509732518345,0.018131650518625975,0.018268203712068498,0.01840475690551102,0.018541310098953545,0.01867786329239607,0.018814416485838592,0.018950969679281116,0.01908752287272364,0.019224076066166162,0.019360629259608686,0.01949718245305121,0.019633735646493733,0.019770288839936256,0.01990684203337878,0.020043395226821303,0.020179948420263827,0.02031650161370635,0.020453054807148874,0.020589608000591397,0.02072616119403392,0.020862714387476444,0.020999267580918968,0.02113582077436149,0.021272373967804015,0.021408927161246538,0.02154548035468906,0.021682033548131585,0.02181858674157411,0.021955139935016632]}"
"2073","{""values"":[36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017608284950256348,0.017724702367559075,0.017841119784861803,0.01795753720216453,0.01807395461946726,0.018190372036769986,0.018306789454072714,0.01842320687137544,0.01853962428867817,0.018656041705980897,0.018772459123283625,0.018888876540586352,0.01900529395788908,0.019121711375191808,0.019238128792494535,0.019354546209797263,0.01947096362709999,0.01958738104440272,0.019703798461705446,0.019820215879008174,0.0199366332963109,0.02005305071361363,0.020169468130916357,0.020285885548219085,0.020402302965521812,0.02051872038282454,0.020635137800127268,0.020751555217429996,0.020867972634732723,0.02098439005203545,0.02110080746933818,0.021217224886640906,0.021333642303943634]}"
"2107","{""_type"":""histogram"",""values"":[36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6],""bins"":[0.017547352239489555,0.017661704740021378,0.0177760572405532,0.017890409741085023,0.018004762241616845,0.018119114742148668,0.01823346724268049,0.018347819743212312,0.018462172243744135,0.018576524744275957,0.01869087724480778,0.018805229745339602,0.018919582245871425,0.019033934746403247,0.01914828724693507,0.019262639747466892,0.019376992247998714,0.019491344748530537,0.01960569724906236,0.019720049749594182,0.019834402250126004,0.019948754750657827,0.02006310725118965,0.02017745975172147,0.020291812252253294,0.020406164752785116,0.02052051725331694,0.02063486975384876,0.020749222254380584,0.020863574754912406,0.02097792725544423,0.02109227975597605,0.021206632256507874]}"
"2141","{""_type"":""histogram"",""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2],""bins"":[0.017817363142967224,0.01793227798771113,0.01804719283245504,0.018162107677198946,0.018277022521942854,0.01839193736668676,0.01850685221143067,0.018621767056174576,0.018736681900918484,0.01885159674566239,0.0189665115904063,0.019081426435150206,0.019196341279894114,0.01931125612463802,0.01942617096938193,0.019541085814125836,0.019656000658869743,0.01977091550361365,0.019885830348357558,0.020000745193101466,0.020115660037845373,0.02023057488258928,0.020345489727333188,0.020460404572077096,0.020575319416821003,0.02069023426156491,0.020805149106308818,0.020920063951052725,0.021034978795796633,0.02114989364054054,0.021264808485284448,0.021379723330028355,0.021494638174772263]}"
