"Step","workerpool1-5-DR6-LR0-R6 - Training/epoch_p_nohist"
"2175","{""_type"":""histogram"",""values"":[43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3],""bins"":[0.01790786348283291,0.018027361773420125,0.018146860064007342,0.01826635835459456,0.018385856645181775,0.01850535493576899,0.01862485322635621,0.018744351516943425,0.01886384980753064,0.018983348098117858,0.019102846388705075,0.01922234467929229,0.019341842969879508,0.019461341260466725,0.01958083955105394,0.019700337841641158,0.019819836132228374,0.01993933442281559,0.020058832713402808,0.020178331003990024,0.02029782929457724,0.020417327585164458,0.020536825875751674,0.02065632416633889,0.020775822456926107,0.020895320747513324,0.02101481903810054,0.021134317328687757,0.021253815619274974,0.02137331390986219,0.021492812200449407,0.021612310491036624,0.02173180878162384]}"
"2209","{""_type"":""histogram"",""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1],""bins"":[0.01774662360548973,0.01786797901149839,0.017989334417507052,0.018110689823515713,0.018232045229524374,0.018353400635533035,0.018474756041541696,0.018596111447550356,0.018717466853559017,0.018838822259567678,0.01896017766557634,0.019081533071585,0.01920288847759366,0.01932424388360232,0.019445599289610982,0.019566954695619643,0.019688310101628304,0.019809665507636964,0.019931020913645625,0.020052376319654286,0.020173731725662947,0.020295087131671607,0.02041644253768027,0.02053779794368893,0.02065915334969759,0.02078050875570625,0.02090186416171491,0.021023219567723572,0.021144574973732233,0.021265930379740894,0.021387285785749555,0.021508641191758215,0.021629996597766876]}"
"2243","{""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4],""_type"":""histogram"",""bins"":[0.01770004630088806,0.017819524800870568,0.017939003300853074,0.01805848180083558,0.018177960300818086,0.01829743880080059,0.018416917300783098,0.018536395800765604,0.01865587430074811,0.018775352800730616,0.018894831300713122,0.019014309800695628,0.019133788300678134,0.01925326680066064,0.019372745300643146,0.019492223800625652,0.019611702300608158,0.019731180800590664,0.01985065930057317,0.019970137800555676,0.020089616300538182,0.02020909480052069,0.020328573300503194,0.0204480518004857,0.020567530300468206,0.020687008800450712,0.02080648730043322,0.020925965800415725,0.02104544430039823,0.021164922800380737,0.021284401300363243,0.02140387980034575,0.021523358300328255]}"
"2277","{""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.01772717759013176,0.017844664282165468,0.017962150974199176,0.018079637666232884,0.018197124358266592,0.0183146110503003,0.018432097742334008,0.018549584434367716,0.018667071126401424,0.018784557818435133,0.01890204451046884,0.01901953120250255,0.019137017894536257,0.019254504586569965,0.019371991278603673,0.01948947797063738,0.01960696466267109,0.019724451354704797,0.019841938046738505,0.019959424738772213,0.02007691143080592,0.02019439812283963,0.020311884814873338,0.020429371506907046,0.020546858198940754,0.020664344890974462,0.02078183158300817,0.020899318275041878,0.021016804967075586,0.021134291659109294,0.021251778351143003,0.02136926504317671,0.02148675173521042]}"
"2311","{""_type"":""histogram"",""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2],""bins"":[0.017795175313949585,0.017913281626533717,0.01803138793911785,0.01814949425170198,0.018267600564286113,0.018385706876870245,0.018503813189454377,0.01862191950203851,0.01874002581462264,0.018858132127206773,0.018976238439790905,0.019094344752375036,0.01921245106495917,0.0193305573775433,0.019448663690127432,0.019566770002711564,0.019684876315295696,0.019802982627879828,0.01992108894046396,0.020039195253048092,0.020157301565632224,0.020275407878216356,0.020393514190800488,0.02051162050338462,0.020629726815968752,0.020747833128552884,0.020865939441137016,0.020984045753721148,0.02110215206630528,0.02122025837888941,0.021338364691473544,0.021456471004057676,0.021574577316641808]}"
"2345","{""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.017855964601039886,0.0179755914141424,0.018095218227244914,0.018214845040347427,0.01833447185344994,0.018454098666552454,0.018573725479654968,0.01869335229275748,0.018812979105859995,0.01893260591896251,0.019052232732065022,0.019171859545167536,0.01929148635827005,0.019411113171372563,0.019530739984475076,0.01965036679757759,0.019769993610680103,0.019889620423782617,0.02000924723688513,0.020128874049987644,0.020248500863090158,0.02036812767619267,0.020487754489295185,0.020607381302397698,0.02072700811550021,0.020846634928602725,0.02096626174170524,0.021085888554807752,0.021205515367910266,0.02132514218101278,0.021444768994115293,0.021564395807217807,0.02168402262032032]}"
"2379","{""_type"":""histogram"",""values"":[43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2],""bins"":[0.017923591658473015,0.01804517599521205,0.018166760331951082,0.018288344668690115,0.01840992900542915,0.018531513342168182,0.018653097678907216,0.01877468201564625,0.018896266352385283,0.019017850689124316,0.01913943502586335,0.019261019362602383,0.019382603699341416,0.01950418803608045,0.019625772372819483,0.019747356709558517,0.01986894104629755,0.019990525383036584,0.020112109719775617,0.02023369405651465,0.020355278393253684,0.020476862729992718,0.02059844706673175,0.020720031403470784,0.020841615740209818,0.02096320007694885,0.021084784413687885,0.02120636875042692,0.02132795308716595,0.021449537423904985,0.02157112176064402,0.021692706097383052,0.021814290434122086]}"
"2413","{""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.017744509503245354,0.017866299080196768,0.017988088657148182,0.018109878234099597,0.01823166781105101,0.018353457388002425,0.01847524696495384,0.018597036541905254,0.01871882611885667,0.018840615695808083,0.018962405272759497,0.01908419484971091,0.019205984426662326,0.01932777400361374,0.019449563580565155,0.01957135315751657,0.019693142734467983,0.019814932311419398,0.019936721888370812,0.020058511465322226,0.02018030104227364,0.020302090619225055,0.02042388019617647,0.020545669773127884,0.020667459350079298,0.020789248927030712,0.020911038503982127,0.02103282808093354,0.021154617657884955,0.02127640723483637,0.021398196811787784,0.0215199863887392,0.021641775965690613]}"
"2447","{""values"":[45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.01805221475660801,0.018173296528402716,0.018294378300197423,0.01841546007199213,0.018536541843786836,0.018657623615581542,0.01877870538737625,0.018899787159170955,0.019020868930965662,0.01914195070276037,0.019263032474555075,0.019384114246349782,0.01950519601814449,0.019626277789939195,0.0197473595617339,0.019868441333528608,0.019989523105323315,0.02011060487711802,0.020231686648912728,0.020352768420707434,0.02047385019250214,0.020594931964296848,0.020716013736091554,0.02083709550788626,0.020958177279680967,0.021079259051475674,0.02120034082327038,0.021321422595065087,0.021442504366859794,0.0215635861386545,0.021684667910449207,0.021805749682243913,0.02192683145403862]}"
"2481","{""_type"":""histogram"",""values"":[34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3],""bins"":[0.017446057870984077,0.01756716496311128,0.017688272055238485,0.01780937914736569,0.017930486239492893,0.018051593331620097,0.0181727004237473,0.018293807515874505,0.01841491460800171,0.018536021700128913,0.018657128792256117,0.01877823588438332,0.018899342976510525,0.01902045006863773,0.019141557160764933,0.019262664252892137,0.01938377134501934,0.019504878437146544,0.01962598552927375,0.019747092621400952,0.019868199713528156,0.01998930680565536,0.020110413897782564,0.020231520989909768,0.020352628082036972,0.020473735174164176,0.02059484226629138,0.020715949358418584,0.020837056450545788,0.020958163542672992,0.021079270634800196,0.0212003777269274,0.021321484819054604]}"
"2515","{""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,1],""_type"":""histogram"",""bins"":[0.01766141504049301,0.017792152357287705,0.0179228896740824,0.018053626990877092,0.018184364307671785,0.01831510162446648,0.018445838941261172,0.018576576258055866,0.01870731357485056,0.018838050891645253,0.018968788208439946,0.01909952552523464,0.019230262842029333,0.019361000158824027,0.01949173747561872,0.019622474792413414,0.019753212109208107,0.0198839494260028,0.020014686742797494,0.020145424059592187,0.02027616137638688,0.020406898693181574,0.020537636009976268,0.02066837332677096,0.020799110643565655,0.020929847960360348,0.02106058527715504,0.021191322593949735,0.02132205991074443,0.021452797227539122,0.021583534544333816,0.02171427186112851,0.021845009177923203]}"
"2549","{""_type"":""histogram"",""values"":[37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,1],""bins"":[0.01757682114839554,0.017707584891468287,0.017838348634541035,0.017969112377613783,0.01809987612068653,0.01823063986375928,0.018361403606832027,0.018492167349904776,0.018622931092977524,0.018753694836050272,0.01888445857912302,0.01901522232219577,0.019145986065268517,0.019276749808341265,0.019407513551414013,0.01953827729448676,0.01966904103755951,0.019799804780632257,0.019930568523705006,0.020061332266777754,0.020192096009850502,0.02032285975292325,0.020453623495996,0.020584387239068747,0.020715150982141495,0.020845914725214243,0.02097667846828699,0.02110744221135974,0.021238205954432487,0.021368969697505236,0.021499733440577984,0.021630497183650732,0.02176126092672348]}"
"2583","{""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,1],""_type"":""histogram"",""bins"":[0.017783036455512047,0.017913471325300634,0.01804390619508922,0.018174341064877808,0.018304775934666395,0.018435210804454982,0.01856564567424357,0.018696080544032156,0.018826515413820744,0.01895695028360933,0.019087385153397918,0.019217820023186505,0.019348254892975092,0.01947868976276368,0.019609124632552266,0.019739559502340853,0.01986999437212944,0.020000429241918027,0.020130864111706614,0.0202612989814952,0.02039173385128379,0.020522168721072376,0.020652603590860963,0.02078303846064955,0.020913473330438137,0.021043908200226724,0.02117434307001531,0.0213047779398039,0.021435212809592485,0.021565647679381073,0.02169608254916966,0.021826517418958247,0.021956952288746834]}"
"2617","{""_type"":""histogram"",""values"":[33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4],""bins"":[0.01742689684033394,0.017542781482916325,0.017658666125498712,0.0177745507680811,0.017890435410663486,0.018006320053245872,0.01812220469582826,0.018238089338410646,0.018353973980993032,0.01846985862357542,0.018585743266157806,0.018701627908740193,0.01881751255132258,0.018933397193904966,0.019049281836487353,0.01916516647906974,0.019281051121652126,0.019396935764234513,0.0195128204068169,0.019628705049399287,0.019744589691981673,0.01986047433456406,0.019976358977146447,0.020092243619728833,0.02020812826231122,0.020324012904893607,0.020439897547475994,0.02055578219005838,0.020671666832640767,0.020787551475223154,0.02090343611780554,0.021019320760387927,0.021135205402970314]}"
"2651","{""_type"":""histogram"",""values"":[34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,1],""bins"":[0.017498435452580452,0.017625220236368477,0.017752005020156503,0.017878789803944528,0.018005574587732553,0.01813235937152058,0.018259144155308604,0.01838592893909663,0.018512713722884655,0.01863949850667268,0.018766283290460706,0.01889306807424873,0.019019852858036757,0.019146637641824782,0.019273422425612807,0.019400207209400833,0.019526991993188858,0.019653776776976883,0.01978056156076491,0.019907346344552934,0.02003413112834096,0.020160915912128985,0.02028770069591701,0.020414485479705036,0.02054127026349306,0.020668055047281086,0.020794839831069112,0.020921624614857137,0.021048409398645163,0.021175194182433188,0.021301978966221213,0.02142876375000924,0.021555548533797264]}"
"2685","{""values"":[42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017894554883241653,0.018008089798968285,0.018121624714694917,0.01823515963042155,0.01834869454614818,0.018462229461874813,0.018575764377601445,0.018689299293328077,0.01880283420905471,0.01891636912478134,0.019029904040507972,0.019143438956234604,0.019256973871961236,0.019370508787687868,0.0194840437034145,0.01959757861914113,0.019711113534867764,0.019824648450594395,0.019938183366321027,0.02005171828204766,0.02016525319777429,0.020278788113500923,0.020392323029227555,0.020505857944954187,0.02061939286068082,0.02073292777640745,0.020846462692134082,0.020959997607860714,0.021073532523587346,0.021187067439313978,0.02130060235504061,0.02141413727076724,0.021527672186493874]}"
"2719","{""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.017749546095728874,0.017868656141217798,0.017987766186706722,0.018106876232195646,0.01822598627768457,0.018345096323173493,0.018464206368662417,0.01858331641415134,0.018702426459640265,0.01882153650512919,0.018940646550618112,0.019059756596107036,0.01917886664159596,0.019297976687084883,0.019417086732573807,0.01953619677806273,0.019655306823551655,0.01977441686904058,0.019893526914529502,0.020012636960018426,0.02013174700550735,0.020250857050996274,0.020369967096485198,0.02048907714197412,0.020608187187463045,0.02072729723295197,0.020846407278440893,0.020965517323929816,0.02108462736941874,0.021203737414907664,0.021322847460396588,0.02144195750588551,0.021561067551374435]}"
"2753","{""values"":[42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.017907874658703804,0.018028090766165406,0.018148306873627007,0.01826852298108861,0.01838873908855021,0.01850895519601181,0.018629171303473413,0.018749387410935014,0.018869603518396616,0.018989819625858217,0.01911003573331982,0.01923025184078142,0.019350467948243022,0.019470684055704623,0.019590900163166225,0.019711116270627826,0.019831332378089428,0.01995154848555103,0.02007176459301263,0.020191980700474232,0.020312196807935834,0.020432412915397435,0.020552629022859037,0.02067284513032064,0.02079306123778224,0.02091327734524384,0.021033493452705443,0.021153709560167044,0.021273925667628646,0.021394141775090247,0.02151435788255185,0.02163457399001345,0.021754790097475052]}"
"2787","{""_type"":""histogram"",""values"":[37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3],""bins"":[0.017608795315027237,0.017728988430462778,0.01784918154589832,0.01796937466133386,0.0180895677767694,0.01820976089220494,0.01832995400764048,0.01845014712307602,0.018570340238511562,0.018690533353947103,0.018810726469382644,0.018930919584818184,0.019051112700253725,0.019171305815689266,0.019291498931124806,0.019411692046560347,0.019531885161995888,0.01965207827743143,0.01977227139286697,0.01989246450830251,0.02001265762373805,0.02013285073917359,0.020253043854609132,0.020373236970044672,0.020493430085480213,0.020613623200915754,0.020733816316351295,0.020854009431786835,0.020974202547222376,0.021094395662657917,0.021214588778093457,0.021334781893528998,0.02145497500896454]}"
"2821","{""_type"":""histogram"",""values"":[37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6],""bins"":[0.017584115266799927,0.01770088286139071,0.017817650455981493,0.017934418050572276,0.01805118564516306,0.018167953239753842,0.018284720834344625,0.01840148842893541,0.01851825602352619,0.018635023618116975,0.018751791212707758,0.01886855880729854,0.018985326401889324,0.019102093996480107,0.01921886159107089,0.019335629185661674,0.019452396780252457,0.01956916437484324,0.019685931969434023,0.019802699564024806,0.01991946715861559,0.020036234753206372,0.020153002347797155,0.02026976994238794,0.02038653753697872,0.020503305131569505,0.020620072726160288,0.02073684032075107,0.020853607915341854,0.020970375509932637,0.02108714310452342,0.021203910699114203,0.021320678293704987]}"
"2855","{""values"":[43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.017950940877199173,0.018067282682750374,0.018183624488301575,0.018299966293852776,0.018416308099403977,0.01853264990495518,0.01864899171050638,0.01876533351605758,0.018881675321608782,0.018998017127159983,0.019114358932711184,0.019230700738262385,0.019347042543813586,0.019463384349364787,0.01957972615491599,0.01969606796046719,0.01981240976601839,0.019928751571569592,0.020045093377120793,0.020161435182671994,0.020277776988223195,0.020394118793774396,0.020510460599325597,0.0206268024048768,0.020743144210428,0.0208594860159792,0.0209758278215304,0.021092169627081603,0.021208511432632804,0.021324853238184005,0.021441195043735206,0.021557536849286407,0.02167387865483761]}"
"2889","{""values"":[31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017327746376395226,0.017445254372432828,0.01756276236847043,0.017680270364508033,0.017797778360545635,0.017915286356583238,0.01803279435262084,0.018150302348658442,0.018267810344696045,0.018385318340733647,0.01850282633677125,0.018620334332808852,0.018737842328846455,0.018855350324884057,0.01897285832092166,0.019090366316959262,0.019207874312996864,0.019325382309034467,0.01944289030507207,0.01956039830110967,0.019677906297147274,0.019795414293184876,0.01991292228922248,0.02003043028526008,0.020147938281297684,0.020265446277335286,0.02038295427337289,0.02050046226941049,0.020617970265448093,0.020735478261485696,0.020852986257523298,0.0209704942535609,0.021088002249598503]}"
"2923","{""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5],""_type"":""histogram"",""bins"":[0.017732100561261177,0.01784533163299784,0.017958562704734504,0.018071793776471168,0.01818502484820783,0.018298255919944495,0.01841148699168116,0.018524718063417822,0.018637949135154486,0.01875118020689115,0.018864411278627813,0.018977642350364476,0.01909087342210114,0.019204104493837804,0.019317335565574467,0.01943056663731113,0.019543797709047794,0.019657028780784458,0.01977025985252112,0.019883490924257785,0.01999672199599445,0.020109953067731112,0.020223184139467776,0.02033641521120444,0.020449646282941103,0.020562877354677767,0.02067610842641443,0.020789339498151094,0.020902570569887757,0.02101580164162442,0.021129032713361084,0.021242263785097748,0.02135549485683441]}"
"2957","{""_type"":""histogram"",""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5],""bins"":[0.017736656591296196,0.017852704040706158,0.01796875149011612,0.01808479893952608,0.018200846388936043,0.018316893838346004,0.018432941287755966,0.018548988737165928,0.01866503618657589,0.01878108363598585,0.018897131085395813,0.019013178534805775,0.019129225984215736,0.019245273433625698,0.01936132088303566,0.01947736833244562,0.019593415781855583,0.019709463231265545,0.019825510680675507,0.01994155813008547,0.02005760557949543,0.02017365302890539,0.020289700478315353,0.020405747927725315,0.020521795377135277,0.02063784282654524,0.0207538902759552,0.020869937725365162,0.020985985174775124,0.021102032624185085,0.021218080073595047,0.02133412752300501,0.02145017497241497]}"
"2991","{""_type"":""histogram"",""values"":[45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1],""bins"":[0.01805347017943859,0.018173374875914305,0.01829327957239002,0.018413184268865734,0.01853308896534145,0.018652993661817163,0.018772898358292878,0.018892803054768592,0.019012707751244307,0.01913261244772002,0.019252517144195735,0.01937242184067145,0.019492326537147164,0.01961223123362288,0.019732135930098593,0.019852040626574308,0.019971945323050022,0.020091850019525737,0.02021175471600145,0.020331659412477165,0.02045156410895288,0.020571468805428594,0.02069137350190431,0.020811278198380023,0.020931182894855738,0.021051087591331452,0.021170992287807167,0.02129089698428288,0.021410801680758595,0.02153070637723431,0.021650611073710024,0.02177051577018574,0.021890420466661453]}"
"3025","{""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15],""_type"":""histogram"",""bins"":[0.017750421538949013,0.017836833372712135,0.01792324334383011,0.01800965517759323,0.018096067011356354,0.018182476982474327,0.01826888881623745,0.018355300650000572,0.018441710621118546,0.018528122454881668,0.01861453428864479,0.018700944259762764,0.018787356093525887,0.01887376792728901,0.018960177898406982,0.019046589732170105,0.019133001565933228,0.0192194115370512,0.019305823370814323,0.019392233341932297,0.01947864517569542,0.019565057009458542,0.019651466980576515,0.019737878814339638,0.01982429064810276,0.019910700619220734,0.019997112452983856,0.02008352428674698,0.020169934257864952,0.020256346091628075,0.020342757925391197,0.02042916789650917,0.020515579730272293]}"
"3059","{""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4],""_type"":""histogram"",""bins"":[0.01774396188557148,0.017864704655949026,0.017985447426326573,0.01810619019670412,0.018226932967081666,0.018347675737459213,0.01846841850783676,0.018589161278214306,0.018709904048591852,0.0188306468189694,0.018951389589346945,0.019072132359724492,0.01919287513010204,0.019313617900479585,0.01943436067085713,0.019555103441234678,0.019675846211612225,0.01979658898198977,0.019917331752367318,0.020038074522744864,0.02015881729312241,0.020279560063499957,0.020400302833877504,0.02052104560425505,0.020641788374632597,0.020762531145010144,0.02088327391538769,0.021004016685765237,0.021124759456142783,0.02124550222652033,0.021366244996897876,0.021486987767275423,0.02160773053765297]}"
"3093","{""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,1],""_type"":""histogram"",""bins"":[0.017670869827270508,0.01780568261165172,0.01794049539603293,0.01807530818041414,0.01821012096479535,0.018344933749176562,0.018479746533557773,0.018614559317938983,0.018749372102320194,0.018884184886701405,0.019018997671082616,0.019153810455463827,0.019288623239845037,0.019423436024226248,0.01955824880860746,0.01969306159298867,0.01982787437736988,0.01996268716175109,0.020097499946132302,0.020232312730513513,0.020367125514894724,0.020501938299275935,0.020636751083657146,0.020771563868038356,0.020906376652419567,0.021041189436800778,0.02117600222118199,0.0213108150055632,0.02144562778994441,0.02158044057432562,0.021715253358706832,0.021850066143088043,0.021984878927469254]}"
"3127","{""_type"":""histogram"",""values"":[32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,1,1],""bins"":[0.01735723577439785,0.017493947700131685,0.01763065962586552,0.017767371551599354,0.017904083477333188,0.018040795403067023,0.018177507328800857,0.01831421925453469,0.018450931180268526,0.01858764310600236,0.018724355031736195,0.01886106695747003,0.018997778883203864,0.0191344908089377,0.019271202734671533,0.019407914660405368,0.019544626586139202,0.019681338511873037,0.01981805043760687,0.019954762363340706,0.02009147428907454,0.020228186214808375,0.02036489814054221,0.020501610066276044,0.020638321992009878,0.020775033917743713,0.020911745843477547,0.02104845776921138,0.021185169694945216,0.02132188162067905,0.021458593546412885,0.02159530547214672,0.021732017397880554]}"
"3161","{""_type"":""histogram"",""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,1],""bins"":[0.017805134877562523,0.01794229430379346,0.018079453730024397,0.018216613156255335,0.018353772582486272,0.01849093200871721,0.018628091434948146,0.018765250861179084,0.01890241028741002,0.019039569713640958,0.019176729139871895,0.019313888566102833,0.01945104799233377,0.019588207418564707,0.019725366844795644,0.01986252627102658,0.01999968569725752,0.020136845123488456,0.020274004549719393,0.02041116397595033,0.020548323402181268,0.020685482828412205,0.020822642254643142,0.02095980168087408,0.021096961107105017,0.021234120533335954,0.02137127995956689,0.02150843938579783,0.021645598812028766,0.021782758238259703,0.02191991766449064,0.022057077090721577,0.022194236516952515]}"